Name,Satatu,Type de Projet,Langage
QRCode,A faire,Logiciel,
Code Bare,A faire,Logiciel,
Yamse,A faire, Jeux,
Blin Test,A faire,Logiciel,
7 famille,A faire,Jeux,
2048,A faire,Jeux,
Algorithme de recherche dichotomique,A faire,Logiciel,
Bataille Navales,A faire,Jeux,
Belotte,A faire,Jeux,
Black jack,A faire,Jeux,
Carte des Reseau Social,A faire,Page,
Chate Reseau,A faire,Logiciel,
Code Snake ,A faire,Jeux,JavaScript 
Construire un site web HTML5 de base ,A faire,Logiciel,
Construisez votre propre calculatrice classique,A faire,"Logiciel,Page",
Construisez votre propre calculatrice heures,A faire,"Logiciel,Page",
Construisez votre propre calculatrice volume distance,A faire,"Logiciel,Page",
Conteur,A faire,Logiciel,
Conversion de poids ,A faire,"Logiciel,Page",
Crapet,A faire,,
Dark Mode,A faire,Logiciel,
Demineur,A faire,Jeux,
Développer un Bot en Python (discord),A faire,Logiciel,
Echecs ,A faire,Jeux,
Filelight,A faire,Logiciel,
Jeux de Dame,A faire,Jeux,
Jeux loi,A faire,Jeux,
Kakuro,A faire,Jeux,
Kakuro solution,A faire,Logiciel,
Le juste prix,A faire,"Jeux,Logiciel",
Logiciel de Commande,A faire,Logiciel,
Logiciel de stockage ,A faire,Logiciel,
Logiciel de Ticket de caisse,A faire,Logiciel,
Mah-jong a 4,A faire,"Jeux,Logiciel",
Mah-jong solo,A faire,"Jeux,Logiciel",
Memoire,A faire,Jeux,
Meteo,A faire,Logiciel,
Morpion,A faire,Jeux,
Mot de passe,A faire,Logiciel,
Mots flecher,A faire,Jeux,
Mots flecher Solution,A faire,Logiciel,
Nombres de la suite de Fibonacci,A faire,Logiciel,
Note,A faire,"Logiciel,Page",
Page Comptabilité,A faire,Page,
Page Couleur,A faire,"Page,Logiciel",
Page Expérience Pro,A faire,Page,
Page Galerie Image,A faire,"Page,Logiciel",
Page Galirie Projet,A faire,"Page,Logiciel",
Page Générait un Cahier des Charge Automatiquement,A faire,Page,
Page Généré Image Comprtance,A faire,"Page,Logiciel",
Page inscription,A faire,"Page,Logiciel",
Page Loging,A faire,"Page,Logiciel",
Page Paramettre,A faire,"Page,Logiciel",
Page Projet ,A faire,"Page,Logiciel",
Page Recette de Cuisine,A faire,"Page,Logiciel",
Pendu,A faire,Jeux,
Petit cheveau,A faire,Jeux,
Pierre Papier Ciseaux,A faire,Jeux,
Pocker,A faire,"Jeux,Logiciel",
Pro note,A faire,"Page,Logiciel",
Profil cart visite,A faire,"Page,Logiciel",
Puisance 4,A faire,Jeux,
QR Code,A faire,"Logiciel,Page",
questionnaire,A faire,"Logiciel,Page",
Ramy,A faire,Jeux,
Rumy,A faire,Jeux,
Site arbre Logique,A faire,"Page,Logiciel",
Site Comptabilité,A faire,"Page,Logiciel",
Site Couleur,A faire,"Page,Logiciel",
Site fiche Afpa,A faire,"Page,Logiciel",
Site Genere QRCode,A faire,"Page,Logiciel",
Site Monter en lumier D2,A faire,"Page,Logiciel",
Site Personnage D2,A faire,"Page,Logiciel",
Site Personnage R6,A faire,"Page,Logiciel",
Site Quiz,A faire,"Page,Logiciel",
Site ToDoListe avec API,A faire,"Page,Logiciel",
Solitaire,A faire,Jeux,
Sudoku ,A faire,Jeux,
Sudoku Solution,A faire,Logiciel,
Super solitaire,A faire,Jeux,
Tablle -> equiation => graphique,A faire,Logiciel,
Todo,A faire,Logiciel,
Treemap,A faire,Logiciel,
Uno,A faire,Jeux,
Visualisation Arbre recherche,A faire,Logiciel,
Visualiser de la data avec Python,A faire,Logiciel,